Region,Year,Sex,artstart_n,recartage_mean,recartage_sd,recartage_median,recartage_p25,recartage_p75
CN,2024,ALL,24,39.5,12.6250269048357,36,30.5,44.5
CN,ALL,Male,22659,36.5906703738029,10.7896466110933,35,28,43
CN,ALL,Female,15628,36.6244561044279,10.8462348158465,35,28,43
CN,2006,Male,462,38.4220779220779,9.66518617888139,38,31,45
CN,2006,Female,271,37.9630996309963,10.1772496823771,38,30,45
CN,2007,Male,823,39.5261239368165,10.6557038593834,38,32,46
CN,2007,Female,625,37.4496,10.2326042503162,36,30,43
CN,2008,Male,1026,38.5808966861598,10.1974547553717,37,31,45
CN,2008,Female,711,37.8621659634318,10.300860914685,36,30,44
CN,2009,Male,1132,38.2067137809187,10.0595762459801,37,30,45
CN,2009,Female,865,37.9341040462428,10.4553306850875,36,30,45
CN,2010,Male,1074,38.0642458100559,10.2480224282421,37,30,45
CN,2010,Female,822,36.4428223844282,10.3348807262073,35,29,43
CN,2011,Male,1229,38.0659072416599,10.6920036756685,36,30,45
CN,2011,Female,1036,35.6264478764479,10.3771597637086,34,28,42
CN,2012,Male,1436,37.6545961002786,10.9434619134935,36,29,45
CN,2012,Female,1097,36.669097538742,10.8089278794799,35,28,43
CN,2013,Male,1726,36.8650057937428,10.5288436501195,35,28,44
CN,2013,Female,1411,36.1566265060241,10.5681303841853,34,28,42
CN,2014,Male,1878,37.3519701810437,11.1401769136639,36,28,45
CN,2014,Female,1560,36.4455128205128,11.0643742499579,34,28,44
CN,2015,Male,1882,36.6131774707758,11.0577814775897,35,28,44
CN,2015,Female,1297,37.0292983808789,11.3007048924389,35,28,45
CN,2016,Male,1974,36.0496453900709,10.7073482247931,34,27,43
CN,2016,Female,1405,36.2533807829181,10.6023634829888,34,28,42
CN,2017,Male,1905,35.5249343832021,11.1620762507389,33,27,42
CN,2017,Female,1158,36.2150259067358,11.3771465173593,34,27,43
CN,2018,Male,1858,34.2604951560818,10.1982481401929,32,26,40
CN,2018,Female,1023,35.7966764418377,11.3180193642117,33,27,42
CN,2019,Male,1500,34.038,10.5921677988559,31.5,26,40
CN,2019,Female,749,36.8117489986649,11.0378818184704,35,28,44
CN,2020,Male,747,35.90093708166,11.2492281143623,34,28,41
CN,2020,Female,436,36.7729357798165,11.0911086520464,35,28,43
CN,2021,Male,688,35.1671511627907,10.7269795230954,33,27,41
CN,2021,Female,348,37.0804597701149,10.4401335917393,36,29,43.25
CN,2022,Male,790,34.9455696202532,11.0514787759466,33,26,41
CN,2022,Female,441,36.2743764172336,11.2544739036926,34,28,43
CN,2023,Male,512,36.724609375,10.3723410920436,35,29,42
CN,2023,Female,366,37.172131147541,11.5751452829966,35,28,46
CN,2024,Male,17,35.4117647058824,10.1922692733844,35,28,38
CN,2024,Female,*,*,*,*,*,*
EA,ALL,ALL,229002,36.4209482886612,10.4046452445409,35,29,43
EA,2006,ALL,9605,37.227902134305,9.1849552519782,36,30,43
EA,2007,ALL,13104,36.9529151404151,9.48955952380616,36,30,43
EA,2008,ALL,12346,36.6676656406933,9.50280993647894,35,30,42
EA,2009,ALL,13857,37.131630222992,9.9457024243788,36,30,43
EA,2010,ALL,14998,37.0198693159088,10.1334105379885,36,30,43
EA,2011,ALL,16356,37.133284421619,10.2761010963614,36,29,43
EA,2012,ALL,17513,36.4859818420602,10.2877201758913,35,29,42
EA,2013,ALL,15514,35.8135877272141,10.462608801081,34,28,42
EA,2014,ALL,17635,35.9707967110859,10.362725032984,34,28,42
EA,2015,ALL,14894,35.9459513898214,10.5625858271539,34,28,42
EA,2016,ALL,15003,36.4797707125242,10.7224458301953,35,28,43
EA,2017,ALL,13365,36.117695473251,10.8591216345703,34,28,42
EA,2018,ALL,12169,35.5726846906073,10.8884878813575,34,27,42
EA,2019,ALL,12837,35.9689958713095,10.9300933867267,34,28,42
EA,2020,ALL,11085,35.8652232746955,10.7149874780961,34,28,42
EA,2021,ALL,9040,36.2487831858407,11.1323564519939,35,28,43
EA,2022,ALL,7284,36.2598846787479,11.1999847878465,34,28,43
EA,2023,ALL,2397,37.7692949520234,11.0644911006965,36,29,45
EA,ALL,Male,83582,39.0761168672681,10.2994932147236,38,32,45
EA,ALL,Female,145420,34.8948562783661,10.1551786908905,33,27,41
EA,2006,Male,3551,39.9003097718952,9.17867567941901,39,33,45
EA,2006,Female,6054,35.6603898249092,8.82030310230078,34,29,41
EA,2007,Male,4536,39.8282627865961,9.68010060257752,39,33,45
EA,2007,Female,8568,35.4306722689076,9.02406429232511,34,29,41
EA,2008,Male,4305,39.6878048780488,9.59861758358056,38,33,45
EA,2008,Female,8041,35.0507399577167,9.04633799427278,34,28,40
EA,2009,Male,4914,40.1125356125356,10.0040371232689,39,33,46
EA,2009,Female,8943,35.4936822095494,9.52482890046771,34,29,41
EA,2010,Male,5266,39.737561716673,10.0184379905574,38,32,46
EA,2010,Female,9732,35.5493218249075,9.88890777181889,34,28,41
EA,2011,Male,5700,39.7852631578947,10.2988266060864,38,32,46
EA,2011,Female,10656,35.7147147147147,9.97913700134781,34,28,41.25
EA,2012,Male,6119,39.0462493871548,10.2448761814751,38,32,45
EA,2012,Female,11394,35.1110233456205,10.0452786711883,33,27,41
EA,2013,Male,5350,38.6616822429907,10.4147281713325,37,31,45
EA,2013,Female,10164,34.314443132625,10.1727721731937,32,27,40
EA,2014,Male,6433,38.2728120628012,10.233819704219,37,31,44
EA,2014,Female,11202,34.6488127120157,10.2043596261497,33,27,41
EA,2015,Male,5558,38.3431090320259,10.2747280345642,37,30.25,45
EA,2015,Female,9336,34.518851756641,10.4734248442915,32,27,40
EA,2016,Male,5680,38.4294014084507,10.3620130093216,37,31,44
EA,2016,Female,9323,35.2919661053309,10.7650259129851,33,27,42
EA,2017,Male,5244,38.3676582761251,10.4336925703698,37,31,44
EA,2017,Female,8121,34.6648196034971,10.881344131968,32,26,41
EA,2018,Male,4706,38.4262643433914,10.8006072341507,37,31,45
EA,2018,Female,7463,33.7732815221761,10.5547696168051,31,26,40
EA,2019,Male,5048,38.7052297939778,10.6581644560733,37,31,45
EA,2019,Female,7789,34.1956605469252,10.73725408261,32,26,40
EA,2020,Male,4125,38.9934545454545,10.7090163802008,38,31,45
EA,2020,Female,6960,34.0112068965517,10.2793369809924,32,26,40
EA,2021,Male,3447,39.2616768204236,10.8702307906882,38,31,46
EA,2021,Female,5593,34.3919184695155,10.8840037195037,32,26,40
EA,2022,Male,2725,39.2777981651376,10.8620827176523,38,31,45
EA,2022,Female,4559,34.4560210572494,11.0101167349945,32,26,41
EA,2023,Male,875,40.816,10.6176193102283,40,33,48
EA,2023,Female,1522,36.0177398160315,10.9389712524132,34,27,43
NA-ACCORD,ALL,ALL,51336,42.2628369954808,12.9158061654199,42,31,52
NA-ACCORD,2006,ALL,2644,42.6758698940998,11.1835919162648,42,35,50
NA-ACCORD,2007,ALL,3085,43.115397082658,11.3299603773617,43,35,51
NA-ACCORD,2008,ALL,3371,42.834470483536,11.6136831521699,43,34,51
NA-ACCORD,2009,ALL,4116,42.2021379980564,11.9470258548552,42,33,50
NA-ACCORD,2010,ALL,4871,42.2256210223773,12.3141213948952,42,32,51
NA-ACCORD,2011,ALL,4678,42.6070970500214,12.6670142000584,43,32,52
NA-ACCORD,2012,ALL,4299,41.6117701791114,12.9538595252727,42,30,51
NA-ACCORD,2013,ALL,4426,41.3506552191595,12.9601543470953,41,30,51
NA-ACCORD,2014,ALL,4123,41.5447489691972,13.1539838480963,41,30,51
NA-ACCORD,2015,ALL,3349,41.5936100328456,13.5907927849302,40,30,52
NA-ACCORD,2016,ALL,2732,42.1716691068814,13.8374261939219,41,30,53
NA-ACCORD,2017,ALL,2607,42.1779823551975,14.1343381534932,40,30,54
NA-ACCORD,2018,ALL,2596,43.2461479198767,14.1071827655153,42,31,54
NA-ACCORD,2019,ALL,2319,43.5799913755929,14.5306927485043,41,31,55
NA-ACCORD,2020,ALL,1354,43.3537666174298,14.7098457102916,41,31,55
NA-ACCORD,2021,ALL,766,40.4295039164491,13.7122479105402,37,30,50
NA-ACCORD,ALL,Male,43601,42.3484323754042,13.1779794564252,42,31,52
NA-ACCORD,ALL,Female,7735,41.780349062702,11.3136731450621,41,33,50
NA-ACCORD,2006,Male,2242,43.2948260481713,11.2795028385459,43,35,51
NA-ACCORD,2006,Female,402,39.2238805970149,9.96275492278831,38,32,46
NA-ACCORD,2007,Male,2606,43.5460475825019,11.491530291545,43,35,51
NA-ACCORD,2007,Female,479,40.7724425887265,10.1009751633891,41,33,47
NA-ACCORD,2008,Male,2784,43.2654454022989,11.7715839609607,43,34,51
NA-ACCORD,2008,Female,587,40.7904599659284,10.6067808319689,41,33,48
NA-ACCORD,2009,Male,3483,42.4616709732989,12.1618847104943,43,33,51
NA-ACCORD,2009,Female,633,40.7740916271722,10.5832067164439,41,33,48
NA-ACCORD,2010,Male,4111,42.4174166869375,12.5856647391325,43,32,51
NA-ACCORD,2010,Female,760,41.1881578947368,10.6746157852227,41,33,49
NA-ACCORD,2011,Male,3898,42.7090815802976,12.9056116093567,43,32,52
NA-ACCORD,2011,Female,780,42.0974358974359,11.394016563206,43,33,50
NA-ACCORD,2012,Male,3694,41.6399566865187,13.1725734647828,42,30,51
NA-ACCORD,2012,Female,605,41.4396694214876,11.5372308313033,42,32,50
NA-ACCORD,2013,Male,3777,41.3590150913423,13.2330917814959,41,29,51
NA-ACCORD,2013,Female,649,41.3020030816641,11.2500210833817,41,32,50
NA-ACCORD,2014,Male,3570,41.4089635854342,13.3763016184918,41,29,52
NA-ACCORD,2014,Female,553,42.4213381555154,11.5895089529847,42,34,51
NA-ACCORD,2015,Male,2869,41.5291042174974,13.8887141479206,40,29,53
NA-ACCORD,2015,Female,480,41.9791666666667,11.6577670101605,41,33,51
