Region,Year,Sex,enroll_n,enrollage_mean,enrollage_sd,enrollage_median,enrollage_p25,enrollage_p75
CN,2018,ALL,2914,34.5748112560055,10.6145233260763,32,26,40
CN,2019,ALL,2358,35.0161153519932,10.8009213221437,33,27,41
CN,2020,ALL,1245,36.2369477911647,11.0598743328542,34,28,42
CN,2021,ALL,1135,35.8167400881057,10.753691049952,34,27,42
CN,2022,ALL,1461,36.0342231348392,11.5828252889122,34,27,43
CN,2023,ALL,1148,37.1742160278746,11.1698918388559,36,28,44
CN,2024,ALL,24,39.7083333333333,12.4498268424021,36,31,44.5
CN,ALL,Male,24499,36.0472264174048,10.820461576432,34,27,43
CN,ALL,Female,16097,36.0074548052432,10.9338988119327,34,27,43
CN,2006,Male,1056,37.1335227272727,10.2417310673711,36,29,44
CN,2006,Female,778,35.2146529562982,10.3266565980763,33,27,42
CN,2007,Male,1229,37.8917819365338,10.4635479794012,37,30,44
CN,2007,Female,976,35.5338114754098,10.29726795837,34,28,42
CN,2008,Male,1311,37.4294431731503,10.1882743369285,36,30,44
CN,2008,Female,1052,36.2043726235741,10.4340190463453,34,28,42.25
CN,2009,Male,1381,37.0419985517741,10.3084868681171,36,29,44
CN,2009,Female,1121,35.7172167707404,10.1981860132577,34,28,42
CN,2010,Male,1194,36.6850921273032,10.4966204052938,36,28,44
CN,2010,Female,905,35.2895027624309,10.6762571681155,33,27,42
CN,2011,Male,1357,36.994104642594,10.9670313407307,35,29,44
CN,2011,Female,1005,35.7810945273632,10.6678315638615,34,28,42
CN,2012,Male,1459,36.5654557916381,10.9220488718111,35,28,43
CN,2012,Female,1015,35.743842364532,10.8473994108759,34,27,43
CN,2013,Male,1703,35.9729888432178,10.4532071747864,34,28,43
CN,2013,Female,1229,35.5890968266884,10.8640358596984,34,27,42
CN,2014,Male,1708,36.2769320843091,11.2629541670688,34,27,43
CN,2014,Female,1215,35.8074074074074,11.2696810579413,33,27,44
CN,2015,Male,1739,35.9493962047154,11.1416124300238,34,27,43
CN,2015,Female,1083,36.2354570637119,11.3733871700446,34,27,44
CN,2016,Male,1748,35.6086956521739,11.0609061566558,33,27,43
CN,2016,Female,1020,36.1980392156863,11.1665065959257,34,27.75,43
CN,2017,Male,1881,35.4338118022329,11.2826832473622,33,26,42
CN,2017,Female,1146,36.2897033158813,11.4760361102051,34,27,43
CN,2018,Male,1891,33.9783183500793,10.209242390424,32,26,40
CN,2018,Female,1023,35.6774193548387,11.2476807083993,33,27,42
CN,2019,Male,1586,34.0857503152585,10.5597993109313,31,26,40
CN,2019,Female,772,36.9274611398964,11.043595829739,35,28,44
CN,2020,Male,798,35.9586466165414,11.1169010861629,34,28,42
CN,2020,Female,447,36.7337807606264,10.9521298285504,35,28,43
CN,2021,Male,766,35.2258485639687,10.7848797690071,33,27,41
CN,2021,Female,369,37.0433604336043,10.5983112673802,36,29,43
CN,2022,Male,959,35.4921793534932,11.377636717285,33,27,42
CN,2022,Female,502,37.0697211155378,11.9080441924329,35,28,44
CN,2023,Male,716,37.0013966480447,10.9490235604717,35,29,44
CN,2023,Female,432,37.4606481481481,11.5338029396979,36,28,46
CN,2024,Male,17,35.7058823529412,10.0047782701714,35,29,38
CN,2024,Female,*,*,*,*,*,*
EA,ALL,ALL,307827,35.2233462301877,10.3483407037773,33,27,41
EA,2006,ALL,27451,35.8565079596372,9.45971380331069,35,29,42
EA,2007,ALL,28164,35.4628958954694,9.67798879833642,34,28,41
EA,2008,ALL,23854,35.3186048461474,9.86703324181836,34,28,41
EA,2009,ALL,23832,35.3389979859013,10.2079964049511,34,28,41
EA,2010,ALL,23185,35.3285313780462,10.2928743109483,34,27,41
EA,2011,ALL,22189,35.3031231691379,10.4060157054083,33,27,41
EA,2012,ALL,21165,34.9516654854713,10.32837240769,33,27,40
EA,2013,ALL,17815,34.7386472074095,10.4681619701355,33,27,41
EA,2014,ALL,17242,34.4986660480223,10.3347948695742,32,27,40
EA,2015,ALL,15140,34.8655217965654,10.7020002549779,33,27,41
EA,2016,ALL,13765,35.2012350163458,10.6389676605969,33,27,41
EA,2017,ALL,12663,35.2647082050067,10.7901930254524,33,27,41
EA,2018,ALL,12668,35.0903852226081,10.8893017874219,33,27,41
EA,2019,ALL,13086,35.6474858627541,10.9559958137502,34,27,42
EA,2020,ALL,11668,35.4283510455948,10.729439052785,34,27,42
EA,2021,ALL,9940,35.7714285714286,11.0854444997912,34,27,42
EA,2022,ALL,10621,33.9066942849073,10.9622298566905,32,25,40
EA,2023,ALL,3379,35.5167209233501,11.1527927199984,34,27,42
EA,ALL,Male,109522,38.2405361479885,10.3390276740751,37,30,44
EA,ALL,Female,198305,33.556980408966,9.96948061891193,31,26,39
EA,2006,Male,8946,38.8860943438408,9.59222790787409,38,32,44
EA,2006,Female,18505,34.3918940826804,9.03813910611775,33,28,40
EA,2007,Male,9196,38.7314049586777,9.87027642685707,37,32,44
EA,2007,Female,18968,33.8782686630114,9.17362078504117,32,27,39
EA,2008,Male,8095,38.4381717109327,9.94661314415373,37,31,44
EA,2008,Female,15759,33.7161621930326,9.43331312236677,32,27,39
EA,2009,Male,8296,38.5007232401157,10.3155400812677,37,31,45
EA,2009,Female,15536,33.6506822863028,9.7387081593003,32,26,39
EA,2010,Male,8048,38.2183151093439,10.242635015379,37,31,44
EA,2010,Female,15137,33.7920988306798,9.98487471026357,32,26,40
EA,2011,Male,7801,38.1699782079221,10.3666168411056,37,30,44
EA,2011,Female,14388,33.7487489574646,10.0927537099922,32,26,39
EA,2012,Male,7700,37.7325974025974,10.3612651152206,36,30,44
EA,2012,Female,13465,33.3613813590791,9.96704879433483,31,26,39
EA,2013,Male,6605,37.5512490537472,10.4465550371136,36,30,43
EA,2013,Female,11210,33.0814451382694,10.1217789713517,31,25,39
