chart,indicator,value,value_lower,value_upper,value_comment,sex,age,year,source_database,notes
"Prevalence and positivity","Treatment adjusted Prevalence","0.1583126852552936",,,,,,"2022","(calculated)","based on population, estimated PLHIV, and estimated PLHIV on ART data values"
"Prevalence and positivity","Treatment adjusted Prevalence","0.1671810783891478",,,,,,"2023","(calculated)","based on population, estimated PLHIV, and estimated PLHIV on ART data values"
"Prevalence and positivity","Treatment adjusted Prevalence","0.17636693606466758",,,,,,"2024","(calculated)","based on population, estimated PLHIV, and estimated PLHIV on ART data values"
"HIV tests conducted and positivity, by sex","Den Age-Female Gte 15","26353",,,"validated","Females","15+","2022","Global AIDS Monitoring 2023","26353"
"HIV tests conducted and positivity, by sex","Per Age-Female Gte 15","8.1",,,"validated","Females","15+","2022","Global AIDS Monitoring 2023","8.1"
"HIV tests conducted and positivity, by sex","Den Age-Male Gte 15","113686",,,"validated","Males","15+","2022","Global AIDS Monitoring 2023","113686"
"HIV tests conducted and positivity, by sex","Per Age-Male Gte 15","8.9",,,"validated","Males","15+","2022","Global AIDS Monitoring 2023","8.9"
"HIV tests conducted and positivity, by sex","Den Age-All","149096",,,"validated","All sexes","All ages","2022","Global AIDS Monitoring 2023","149096"
"HIV tests conducted and positivity, by sex","Per Age-All","8.7",,,"validated","All sexes","All ages","2022","Global AIDS Monitoring 2023","8.7"
"HIV tests conducted and positivity at community level","Den Community-Community Mobile","14050",,,"validated","All sexes","All ages","2019","Global AIDS Monitoring 2020","Note these figures are from 11 CBOs reporting. No overall number is available. "
"HIV tests conducted and positivity at community level","Per Community-Community Mobile","2.8",,,"validated","All sexes","All ages","2019","Global AIDS Monitoring 2020","Note these figures are from 11 CBOs reporting. No overall number is available. "
"HIV tests conducted and positivity at community level","Den Community-Community Vct","103969",,,"validated","All sexes","All ages","2022","Global AIDS Monitoring 2023","103969"
"HIV tests conducted and positivity at community level","Per Community-Community Vct","1.5",,,"validated","All sexes","All ages","2022","Global AIDS Monitoring 2023","1.5"
"HIV tests conducted and positivity at community level","Den Community-Community Other","2182",,,"validated","All sexes","All ages","2019","Global AIDS Monitoring 2020","Note these figures are from 11 CBOs reporting. No overall number is available. "
"HIV tests conducted and positivity at community level","Per Community-Community Other","3.2",,,"validated","All sexes","All ages","2019","Global AIDS Monitoring 2020","Note these figures are from 11 CBOs reporting. No overall number is available. "
"HIV tests conducted and positivity at community level","Den Community-Community All","103969",,,"validated","All sexes","All ages","2022","Global AIDS Monitoring 2023","103969"
"HIV tests conducted and positivity at community level","Per Community-Community All","1.5",,,"validated","All sexes","All ages","2022","Global AIDS Monitoring 2023","1.5"
"HIV tests conducted and positivity at facility level","Den Facility-Facility Vct","45127",,,"validated","All sexes","All ages","2022","Global AIDS Monitoring 2023","45127"
"HIV tests conducted and positivity at facility level","Per Facility-Facility Vct","25.4",,,"validated","All sexes","All ages","2022","Global AIDS Monitoring 2023","25.4"
"HIV tests conducted and positivity at facility level","Den Facility-Facility All","45127",,,"validated","All sexes","All ages","2022","Global AIDS Monitoring 2023","45127"
"HIV tests conducted and positivity at facility level","Per Facility-Facility All","25.4",,,"validated","All sexes","All ages","2022","Global AIDS Monitoring 2023","25.4"
"HIV self-tests","Self Test Distributed-Data Value",,,,"validated","All sexes","All ages","2019","Global AIDS Monitoring 2020",
"HIV self-tests","Self Test Distributed-Data Value",,,,"validated","All sexes","All ages","2022","Global AIDS Monitoring 2023",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","85621.66170716676",,,,,,"2024","EIC and WHO HIV RDT Landscape Report 2024",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","88500.73196962943",,,,,,"2025","EIC and WHO HIV RDT Landscape Report 2024",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","91379.80223209209",,,,,,"2026","EIC and WHO HIV RDT Landscape Report 2024",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","94258.87249455476",,,,,,"2027","EIC and WHO HIV RDT Landscape Report 2024",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","97137.9427570174",,,,,,"2028","EIC and WHO HIV RDT Landscape Report 2024",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","100017.01301948006",,,,,,"2029","EIC and WHO HIV RDT Landscape Report 2024",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","102896.08328194275",,,,,,"2030","EIC and WHO HIV RDT Landscape Report 2024",
"Key Populations","HIV prevalence among sex workers","3.8",,,,,,"2016","UNAIDS KP-Atlas 2025","Source: IBBS"
"Key Populations","HIV testing and status awareness among sex workers","32.7",,,,,,"2024","UNAIDS KP-Atlas 2025","Source: Programme data, 2024"
"Key Populations","Number of HIV tests taken among sex workers","16480",,,,,,"2023","The Global Fund",
"Key Populations","HIV prevalence among men who have sex with men","3.7",,,,"Males",,"2016","UNAIDS KP-Atlas 2025",
"Key Populations","HIV testing and status awareness among men who have sex with men","34.4",,,,"Males",,"2024","UNAIDS KP-Atlas 2025","Source: Programme data, 2024"
"Key Populations","Number of HIV tests taken among men who have sex with men","74259",,,,,,"2023","The Global Fund",
"Key Populations","HIV prevalence among people who inject drugs","21",,,,,,"2016","UNAIDS KP-Atlas 2025","Source: IBBS data (Round V)"
"Key Populations","HIV testing and status awareness among people who inject drugs","100",,,,,,"2022","UNAIDS KP-Atlas 2025","Source: Programme data, 2022"
"Key Populations","Number of HIV tests taken among people who use drugs","20304",,,,,,"2023","The Global Fund",
"Key Populations","HIV prevalence among transgender people","5.5",,,,,,"2016","UNAIDS KP-Atlas 2025","Source: Behavioral surveillance"
"Key Populations","HIV testing and status awareness among transgender people","45.5",,,,,,"2024","UNAIDS KP-Atlas 2025","Source: Programme data, 2024"
"Key Populations","Number of HIV tests taken among transgender population","14461",,,,,,"2023","The Global Fund",
"Key Populations","HIV prevalence among prisoners","2",,,,,,"2019","UNAIDS KP-Atlas 2025","Source: IBBS in Prisons"
"Key Populations","Number of HIV tests taken among prisoners","7815",,,,,,"2023","The Global Fund",
"WHO HIV Testing Policy Compliance","From national authorities Laws requiring parental consent for adolescents to access HIV testing",,,,"No",,,"2022","WHO_NCPI_2025",
"WHO HIV Testing Policy Compliance","From national authorities Provider-initiated testing and counselling",,,,"Yes",,,"2025","WHO_NCPI_2025",
"WHO HIV Testing Policy Compliance","From national authorities Community-based testing and counselling",,,,"Yes",,,"2025","WHO_NCPI_2025",
"WHO HIV Testing Policy Compliance","From national authorities Lay provider testing",,,,"Yes",,,"2025","WHO_NCPI_2025",
"WHO HIV Testing Policy Compliance","From national authorities Self-testing",,,,"Yes",,,"2025","WHO_NCPI_2025",
"WHO HIV Testing Policy Compliance","From national authorities Assisted partner notification",,,,"Yes",,,"2025","WHO_NCPI_2025",
"WHO HIV Testing Policy Compliance","From national authorities Client-initiated testing and counselling",,,,"Yes",,,"2025","WHO_NCPI_2025",
"WHO HIV Testing Policy Compliance","From national authorities Social network-based HIV testing for key populations",,,,"Yes",,,"2024","WHO_NCPI_2025",
"Population Groups","HIV population (15+) Female","58897.49647","53214.96063","63366.27328",,"Female","15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"Population Groups","Percent of people living with HIV who know their status","26.299929417016866","23.76246517049002","28.295404975849785",,"Females","15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"Population Groups","Adult prevalence (15+) (Percent) Female","0.07373","0.06662","0.07933",,"Female","15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"Population Groups","Women ever receiving an HIV test","2",,,,"Females","15-49","2017","The DHS Program","2017-18 DHS"
"Population Groups","Undiagnosed PLHIV","43407.49647",,,,"Females","15+","2024","(calculated)","based on the estimated PLHIV and % aware data values"
"Population Groups","HIV population (15+) Male","277101.4535","251527.3134","298579.4947",,"Male","15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"Population Groups","Percent of people living with HIV who know their status","19.678352210447716","17.86220534393643","21.20361472369696",,"Males","15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"Population Groups","Adult prevalence (15+) (Percent) Male","0.34083","0.30932","0.36728",,"Male","15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"Population Groups","Men ever receiving an HIV test","4.7",,,,"Males","15-49","2017","The DHS Program","2017-18 DHS"
"Population Groups","Undiagnosed PLHIV","222572.4535",,,,"Males","15+","2024","(calculated)","based on the estimated PLHIV and % aware data values"
