chart,indicator,value,value_lower,value_upper,value_comment,sex,age,year,source_database,notes
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","47.846904974385325","40.51210422472472","55.90848251617649",,"Females","15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","56.7183477538331","47.36590395713872","65.81264872172905",,"Males","15+","2016","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","61.745364143235825","51.44943645666593","71.69142254885341",,"Males","15+","2017","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","64.32495613354575","53.52905899654528","74.93494658201269",,"Males","15+","2018","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","66.81933087661093","55.49287765874037","77.84656352597361",,"Males","15+","2019","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","63.71701273116717","52.94971360256019","74.0505668905803",,"Males","15+","2020","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","63.03445016583084","52.42725174938978","73.28385076374329",,"Males","15+","2021","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","63.54101517309099","52.77668191662584","73.66134384473013",,"Males","15+","2022","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","64.05221242287146","53.05335646316151","74.28488064700826",,"Males","15+","2023","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV who know status - by sex","Percent of people living with HIV who know their status","63.34007007670404","52.376106541827674","73.42728306088596",,"Males","15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","Adult prevalence (15+) (Percent) Male+Female","0.07769","0.06497","0.09009",,"Male+Female","15+","2015","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","Adult prevalence (15+) (Percent) Male+Female","0.09107","0.07607","0.10554",,"Male+Female","15+","2016","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","Adult prevalence (15+) (Percent) Male+Female","0.10578","0.08807","0.12247",,"Male+Female","15+","2017","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","Adult prevalence (15+) (Percent) Male+Female","0.12181","0.10145","0.14166",,"Male+Female","15+","2018","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","Adult prevalence (15+) (Percent) Male+Female","0.13896","0.11558","0.16183",,"Male+Female","15+","2019","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","Adult prevalence (15+) (Percent) Male+Female","0.15751","0.13097","0.18305",,"Male+Female","15+","2020","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","Adult prevalence (15+) (Percent) Male+Female","0.17847","0.14849","0.20706",,"Male+Female","15+","2021","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","Adult prevalence (15+) (Percent) Male+Female","0.20172","0.16796","0.23398",,"Male+Female","15+","2022","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","Adult prevalence (15+) (Percent) Male+Female","0.22763","0.18936","0.26439",,"Male+Female","15+","2023","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","Adult prevalence (15+) (Percent) Male+Female","0.25626","0.21266","0.29715",,"Male+Female","15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"Prevalence and positivity","Treatment adjusted Prevalence","0.1",,,,,,"2015","(calculated)","based on population, estimated PLHIV, and estimated PLHIV on ART data values"
"Prevalence and positivity","Treatment adjusted Prevalence","0.1",,,,,,"2016","(calculated)","based on population, estimated PLHIV, and estimated PLHIV on ART data values"
"Prevalence and positivity","Treatment adjusted Prevalence","0.1",,,,,,"2017","(calculated)","based on population, estimated PLHIV, and estimated PLHIV on ART data values"
"Prevalence and positivity","Treatment adjusted Prevalence","0.1",,,,,,"2018","(calculated)","based on population, estimated PLHIV, and estimated PLHIV on ART data values"
"Prevalence and positivity","Treatment adjusted Prevalence","0.1",,,,,,"2019","(calculated)","based on population, estimated PLHIV, and estimated PLHIV on ART data values"
"Prevalence and positivity","Treatment adjusted Prevalence","0.1",,,,,,"2020","(calculated)","based on population, estimated PLHIV, and estimated PLHIV on ART data values"
"Prevalence and positivity","Treatment adjusted Prevalence","0.10831054887584522",,,,,,"2021","(calculated)","based on population, estimated PLHIV, and estimated PLHIV on ART data values"
"Prevalence and positivity","Treatment adjusted Prevalence","0.11846936429703689",,,,,,"2022","(calculated)","based on population, estimated PLHIV, and estimated PLHIV on ART data values"
"Prevalence and positivity","Treatment adjusted Prevalence","0.13715048773119548",,,,,,"2023","(calculated)","based on population, estimated PLHIV, and estimated PLHIV on ART data values"
"Prevalence and positivity","Treatment adjusted Prevalence","0.15253290420552118",,,,,,"2024","(calculated)","based on population, estimated PLHIV, and estimated PLHIV on ART data values"
"HIV tests conducted and positivity, by sex","Den Age-Female Gte 15","582117",,,"validated","Females","15+","2024","Global AIDS Monitoring 2025","582117"
"HIV tests conducted and positivity, by sex","Per Age-Female Gte 15","0.3",,,"validated","Females","15+","2024","Global AIDS Monitoring 2025","0.3"
"HIV tests conducted and positivity, by sex","Den Age-Male Gte 15","529056",,,"validated","Males","15+","2024","Global AIDS Monitoring 2025","529056"
"HIV tests conducted and positivity, by sex","Per Age-Male Gte 15","2.4",,,"validated","Males","15+","2024","Global AIDS Monitoring 2025","2.4"
"HIV tests conducted and positivity, by sex","Den Age-All","1156219",,,"validated","All sexes","All ages","2024","Global AIDS Monitoring 2025","1156219"
"HIV tests conducted and positivity, by sex","Per Age-All","1.4",,,"validated","All sexes","All ages","2024","Global AIDS Monitoring 2025","1.4"
"HIV tests conducted and positivity at community level","Den Community-Community All","93215",,,"validated","All sexes","All ages","2023","Global AIDS Monitoring 2024","93215"
"HIV tests conducted and positivity at community level","Per Community-Community All","0.83",,,"validated","All sexes","All ages","2023","Global AIDS Monitoring 2024","0.83"
"HIV tests conducted and positivity at facility level","Den Facility-Facility Provider Init","861572",,,"validated","All sexes","All ages","2024","Global AIDS Monitoring 2025","861572"
"HIV tests conducted and positivity at facility level","Per Facility-Facility Provider Init","1.3",,,"validated","All sexes","All ages","2024","Global AIDS Monitoring 2025","1.3"
"HIV tests conducted and positivity at facility level","Den Facility-Facility Anc","474",,,"validated","All sexes","All ages","2024","Global AIDS Monitoring 2025","474"
"HIV tests conducted and positivity at facility level","Per Facility-Facility Anc","0.2",,,"validated","All sexes","All ages","2024","Global AIDS Monitoring 2025","0.2"
"HIV tests conducted and positivity at facility level","Den Facility-Facility Vct","287277",,,"validated","All sexes","All ages","2024","Global AIDS Monitoring 2025","287277"
"HIV tests conducted and positivity at facility level","Per Facility-Facility Vct","1.5",,,"validated","All sexes","All ages","2024","Global AIDS Monitoring 2025","1.5"
