chart,indicator,value,value_lower,value_upper,value_comment,sex,age,year,source_database,notes
"Prevalence and positivity","Treatment adjusted Prevalence","0.1",,,,,,"2024","(calculated)","based on population, estimated PLHIV, and estimated PLHIV on ART data values"
"HIV tests conducted and positivity, by sex","Den Age-Female Gte 15","13996",,,"validated","Females","15+","2024","Global AIDS Monitoring 2025","13996"
"HIV tests conducted and positivity, by sex","Per Age-Female Gte 15","8.1",,,"validated","Females","15+","2024","Global AIDS Monitoring 2025","8.1"
"HIV tests conducted and positivity, by sex","Den Age-Male Gte 15","19505",,,"validated","Males","15+","2024","Global AIDS Monitoring 2025","19505"
"HIV tests conducted and positivity, by sex","Per Age-Male Gte 15","20.1",,,"validated","Males","15+","2024","Global AIDS Monitoring 2025","20.1"
"HIV tests conducted and positivity, by sex","Den Age-All","34802",,,"validated","All sexes","All ages","2024","Global AIDS Monitoring 2025","34802"
"HIV tests conducted and positivity, by sex","Per Age-All","14.7",,,"validated","All sexes","All ages","2024","Global AIDS Monitoring 2025","14.7"
"HIV tests conducted and positivity at facility level","Den Facility-Facility Vct","34802",,,"validated","All sexes","All ages","2024","Global AIDS Monitoring 2025","34802"
"HIV tests conducted and positivity at facility level","Per Facility-Facility Vct","14.7",,,"validated","All sexes","All ages","2024","Global AIDS Monitoring 2025","14.7"
"HIV self-tests","Self Test Distributed-Data Value",,,,"validated","All sexes","All ages","2019","Global AIDS Monitoring 2020",
"HIV self-tests","Self Test Distributed-Data Value",,,,"validated","All sexes","All ages","2022","Global AIDS Monitoring 2023",
"HIV self-tests","Self Test Distributed-Data Value",,,,"validated","All sexes","All ages","2024","Global AIDS Monitoring 2025",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","264514.4337420909",,,,,,"2024","EIC and WHO HIV RDT Landscape Report 2024",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","267105.01364480145",,,,,,"2025","EIC and WHO HIV RDT Landscape Report 2024",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","270759.68122392567",,,,,,"2026","EIC and WHO HIV RDT Landscape Report 2024",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","273421.01837669814",,,,,,"2027","EIC and WHO HIV RDT Landscape Report 2024",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","280686.4657934002",,,,,,"2028","EIC and WHO HIV RDT Landscape Report 2024",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","288054.3989515385",,,,,,"2029","EIC and WHO HIV RDT Landscape Report 2024",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","295312.7081253693",,,,,,"2030","EIC and WHO HIV RDT Landscape Report 2024",
"Key Populations","HIV prevalence among sex workers","4.9",,,,,,"2022","UNAIDS KP-Atlas 2025","Source: BSS, 2022"
"Key Populations","HIV testing and status awareness among sex workers","59.8",,,,,,"2022","UNAIDS KP-Atlas 2025","Source: BSS, 2022"
"Key Populations","SW (Tested in past year)","37891",,,,,,"2021","PEPFAR ROP 2022",
"Key Populations","HIV prevalence among men who have sex with men","5.5",,,,"Males",,"2023","UNAIDS KP-Atlas 2025","Source: Behavioral surveillance survey, 2023"
"Key Populations","HIV testing and status awareness among men who have sex with men","88.3",,,,"Males",,"2023","UNAIDS KP-Atlas 2025","Source: Behavioral surveillance survey, 2023"
"Key Populations","MSM (Tested in past year)","37963",,,,,,"2021","PEPFAR ROP 2022",
"Key Populations","HIV prevalence among people who inject drugs","15.2",,,,,,"2017","UNAIDS KP-Atlas 2025","Source: IBBS 2017"
"Key Populations","PWID (Tested in past year)","568",,,,,,"2021","PEPFAR ROP 2022",
"Key Populations","HIV prevalence among transgender people","13.5",,,,,,"2023","UNAIDS KP-Atlas 2025","Source: Behavioral surveillance survey, 2023"
"Key Populations","HIV testing and status awareness among transgender people","88.4",,,,,,"2023","UNAIDS KP-Atlas 2025","Source: Behavioral surveillance survey, 2023"
"Key Populations","Transgender (Tested in past year)","9058",,,,,,"2021","PEPFAR ROP 2022",
"Key Populations","HIV prevalence among prisoners","1.1",,,,,,"2024","UNAIDS KP-Atlas 2025","Source: HIV tests conducted by jails, prisons and other closed settings"
"WHO HIV Testing Policy Compliance","From national authorities Laws requiring parental consent for adolescents to access HIV testing",,,,"Yes",,,"2022","WHO_NCPI_2025",
